name,descriptions,rel_aesthetics,key_colors,brands
Romantic Italian,"White linen blouses,
,Off-the-shoulder tops,
,Loose, flowing skirts,
,Silk slip dresses,
,Haute couture gowns,
,Sandals,
,Patterned scarves, like Audrey Hepburn in ,Roman Holiday,
,Delicate jewelry,
,Floral hair arrangements,
,Straw hats,Media,[,]","Angelcore,Art Academia,Classic Academia,Cottagecore,Hellenic,Noucentisme,Light Academia,Lovecore,Pastel,Romantic Academia,Tomato Girl Summer,Vintage Parisian,Wanderlust","Neutrals, pastels",
Rollerwave,"Rollerwave fashion is reflective of the popular fashions of the 1970s, but only the mundane, everyday fashions- the sort of thing one would find in a Montgomery Ward or Woolworth's, or Gary Collins's closet. Sideburns are common, as are sports jackets and knee-high skirts. Above all else, Rollerwave fashion is not at all provocative or challenging to the mainstream.  
,Media,[,]","Hauntology,Hippie,Mod,Lo-Fi,Pop Art,Psychedelica,Synthwave,Vaporwave,Vintage","Neutral colors, Neon","RadioShack, IBM, Pizza Spins, Kmart"
Rockabilly,"Clothing,[,],Rockabilly fashion is one of the most interesting because it works with bold, rich colors and old-school style. Although it's not that common to see women wearing this style in the streets nowadays, the Rockabilly genre and its style is making a small comeback thanks to the ever-changing music scene and the growing trend of modernized 50's and 60's fashion. 
,There are many options when it comes to choosing tops for the outfit, from tank tops to crop tops to high-tie button-down blouses and more. Stripes and polka dots are the preferred patterns, along with solid colors. Red, white, and black are the base colors to choose. Pencil skirts and cuffed denim pants are very common lower wear.
,Polka dot dresses are a staple in Rockabilly fashion and they are given a lot of importance. They're always loud and eye-catching, even if they're not brightly colored. Most Rockabilly dresses are form fitting, hitting just below the knee, but there are always variations, many being ruffled and slightly voluminous. 
,There are many styles of shoes with heels, a height of 7.5-10cm being the most common. Alternatively, there's also ballet flats, saddle shoes, converse, and creepers.
,Hair & Makeup,[,], 	 , 	, 	, 		,	, ,  	 	, 		 			, 		 		 			,How to do a Rockabilly Make Up Style Tutorial, 		 		 	, ,Black seems to be the hair color of choice when it comes to Rockabilly style and most common. Since most people aren't born with natural jet-black hair, it's usually dyed. One thing to keep in mind is that most hairstyles for women have curled parts, are pinned up, and often include hair accessories like flowers or small bows. 
,Various deep shades of red are used for the lips, along with winged eyeliner and mascara. Blush is applied to the apple of the cheeks to give a rosy hue and sometimes fake beauty marks are added.
,Media,[,]","Americana,Cherry Emoji Twitter,Greaser,Old Hollywood,Rock","White, red",
Rococo,"Rococo fashion was based on extravagance, elegance, refinement and decoration.
,Men's Fashion,[,],Suits,[,],Habit à la française,Accessories,[,],Tricorne Hats,Women's Fashion,[,],Gowns,[,],Brunswick,
,Chemise à la reine,
,Robe à l’anglaise,
,Robe à la française,
,Robe à la polonaise,Footwear,[,],Louis Heels,Accessories,[,],Fichu,
,Gloves,
,Hand Fans,Jewelry,[,],Cameos,
,Diamond Bracelets,
,Diamond Collars,
,Diamond Earrings,
,Lace Chokers,
,Pearl Earrings,
,Pearl Necklaces,Madame de Pompadour, by Maurice Quentin de La Tour, 1755,Jeanne Antoinette at a vanity table (toilette table) applying blush, by François Boucher, 1758,Louis XVI in early adulthood, by Joseph-Siffred Duplessis, 1774-1776,French fashion plate from La Galerie des Modes, unknown illustrator, c.1778,Coiffure à l’Indépendance ou Le Triomphe de la Liberté, 1778, depicting a fashionable aristocratic woman is applying the finishing touches to her toilette,Woman wearing a Robe a Poloniose, unknown illustrator, 1778,French fashion plate from La Galerie des Modes, unknown illustrator, 1778,French fashion plate from La Galerie des Modes, unknown illustrator, 1778,Robe à l'Anglaise, unknown illustrator, 1778,French fashion plate, unknown illustrator, 1779,Marie-Antoinette with the Rose, by Élisabeth Vigée Le Brun, 1783,French fashion plate, by Pierre-Thomas LeClerc, 1784,Rococo Chinoiserie,[,]","Angelcore,Baroque, (predecessor),Delicate Sweet,Ethereal,French Girly,Lolita,Lovecore,Pastel,Orientalism,Pink Parisian,Princesscore,Softie","Pastel colours (mainly light blue, light pink and white, but also light yellow)",
Rocketpunk,,"Atompunk,Raygun Gothic,Retro-Futurism,Spacecore,Space Cowboy",,
Rock,,"Basque Radical Rock,Emo,Metal,Punk,Yé-yé Girl",,
Robotcore,,"Abstract Tech,Cybercore,Hexatron,Old Web,Vaporwave,Frutiger Aero,Voidpunk","Muted colors, monochrome colors, blue","Microsoft, Tech Companies"
Roaring 20s,"The fashion of the 1920s was greatly different from the fashion previous to this decade due to the fact that women's fashions were now looser, had shorter hemlines, and revealed more of the arms and legs. 
,Media,[,]","Americana,Art Deco,Dark Gatsby,Dieselpunk,Electro Swing,Flapper,Italian Mafia",,
Robotics Kids," 	, 	 	, 		 			, 		 		 		 			,A 'starter pack' meme showing what some Robotics Kids wear, 		 	, ,Robotics Kids have a very small fashion, which usually consists of:
,Competition T-Shirts,
,Cargo Shorts,
,Sneakers (constantly moving around),Gallery,[,]","Cyberprep,Cyberpunk",,
Rockstar GF,,"Messy French It Girl,Downtown Girl,Grunge,Indie Sleaze,Rock",,
Regional Gothic,,"American Gothic,Anglo Gothic,Coffinwood,Gothic,Midwest Gothic,New England Gothic,Southern Gothic,Suburban Gothic","Grey, blue, brown, green, black",
Renewable Corporate Futurism,,"Abstract Tech,Bright Tertiaries,★,Corporate,Cyberparadism,DORFic,Flat Design,★,Frutiger Aero,★,Frutiger Eco,Gen X Soft Club,Solarpunk","Pale & Deep Green, White, Baby Blue & Blue, Cyan, Turquoise, Teal, Pale Yellow, Light Orange, Grey","Pela, Bamboo HR, Eco-Watch (blog), Beyond Meat, Shake Shack, Horace Mann Middle School (building), Sungevity, EcoBusiness Fund, Hello Fresh"
Retro-Futurism,"Retrofuturistic fashion includes simplistic clothing that incorporates futuristic technology/inventions.
,Monocolour/bicolor clothing,
,Geometric clothing (see ,Avant-garde,),
,Holographic designs (see ,Holosexual,),
,Shiny clothing (by latex, tinfoil, etc. - ,Shiny Suit 97,),
,Clunky, robotic clothing,
,Glowing accessories (see ,Glowwave,),
,LED/technologic visors,
,Astronaut suits,Media,[,]","Acid Design,Aeropittura,Art Deco,Atompunk,Cybercore,Cyberpop,Cyberpunk,Decopunk,Dieselpunk,Futurism,Hydrogen,Nostalgiacore,Raygun Gothic,Rocketpunk,Steampunk,Synthwave,Vaporwave,Visual Pollution",,
Revcore,,"Bastardcore,Gorecore,Grotesque,Horror,Meatcore,Necrotrap,Old Memecore,Violencecore","White, red, black",
Revengecore,"In terms of fashion, some elements that would be considered revengecore would be:
,(Fake) Blood-stained clothing,
,Bulletproof vests,
,Ripped/distressed jeans,
,Red and black themes,
,Fingerless/skeleton gloves,
,Red eyeshadow,
,Heavy use of eyeliner,
,White powder to appear paler,
,Armbands,
,Red/black sneakers or boots,
,Black shirt and red tie,
,Black/red dyed hair,
,Rosaries,Gallery,[,]","Emo,Goth Punk,Pop-Punk Emo,Villaincore,Traumacore,Sadpeople",Red and black,
Retro Fairycore,"Clothing is usually very fairy-like, giving off magical vibes while also looking like it's from the 70's-2010's, which include:
,High waisted pants,
,Jackets,
,Puffy sleeves,
,Dresses,
,Skirts,
,Platform shoes and boots,
,Light makeup,All the values above create a mix we therefore call ,Retro Fairycore,.
,Gallery,[,]","Drain,Fairycore,Fairy Kei,Old Web,Grunge,Jojifuku,Lilac Femme,Tweencore,Yume Kawaii",Bright colors,
Rivethead,"Rivethead fashion is heavily inspired by ,Military, fashion.
,Male,[,],Tops,: Black, grey, or olive tank tops, plain t-shirts, band shirts, sleeveless shirts (sometimes with the sleeves ripped off), tie-dye crinkle or burst pattern shirts; black leather jackets (frequently painted with band logos), and MA-1 flight jackets.,
,Pants,: Cargo and BDU paratrooper pants, ripped jeans, vintage shorts, often but not always black or Woodland camouflage; usually tucked into boots, rolled at the bottom, cuffs or worn as cut-off shorts. Black leather pants and bondage pants are sometimes worn.,
,Footwear,: Combat boots, steel-toe boots, or low shoes, such as Dr. Martens, Gripfasts, Grinders, and Underground shoes.,
,Hair,: Partially shaved (undercut), flattop, Mohawk, or completely shaved. Sometimes long hair in combination with undercut or dreadlocks.,
,Accessories,: Teashades and Ray-Ban Aviator sunglasses. Battle Dress Uniform-style or military belts; bracelets and dog tags; fingerless leather gloves; sometimes jewelry that incorporates industrial elements such as nails, screws, and cogs. Suspenders, or ""braces"", normally worn hanging off trousers or shorts.,
,Body modification,: Primarily piercings and tattoos.,Female,[,],Rivetgirls may dress along with the ,femme fatale, look: sexuality as power. Kim X, the co-founder of California-based music label COP International, compared the female rivethead attitude to the Riot grrrl movement.
,Tops,: Fetish wear, such as black PVC and leather corsages. May also wear military wear such as tank tops.,
,Pants,: Miniskirts, fishnet stockings. May also wear paratrooper pants.,
,Footwear,: Ankle-deep or knee-high stiletto heel boots, Dr. Martens low boots. May also wear combat boots.,
,Hair,: Often dyed hair (black, sometimes red or blonde) that is long, short, spiked, partially shaved (see Maria Azevedo of Battery and Yone Dudas of Decoded Feedback) or dreadlocked (see Anna Christine of Luxt).,
,Accessories,: ,
,Body modification,: Mild usage of makeup, piercings.,Pinterest,[,]","Brutal Industrial,Cybergoth,Cyberpunk,Emo,Gabber,Goth,Grunge,Mallgoth,Metal,Military,New Romantic,Nu-Metal,Post-Apocalyptic,Post-Punk,Punk,Rock,Steampunk,Witch House","Black, grey, olive, tan",
Riotwave,,"Copcore,Scrapper,Gangsta Rap,Urbancore,Los Angeles Muralism,Prisoncore,SWATcore,Japanese New Left",,
Raygun Gothic,"Raygun Gothic fashion tends to draw heavy inspiration from how people in the mid-20th century viewed how the future was going to look. Hence, fashion draws inspiration from existing mid-century fashion and outfits seen in pulp sci-fi of the time. Atompunk fashion such as skirts, boots, and gloves, usually made of a smooth synthetic material such as latex, are typical for women, as are skintight spacesuits invoking the covers of pulp sci-fi comic books (which did tend to be rather sexually suggestive from time to time). More modern iterations of Raygun Gothic tend to emphasize the risqué nature of the fashion. The Raygun Gothic aesthetic also extends to t-shirts, hats, etc. adorned with graphics like starbursts, rockets, atom models, and minimalistic depictions of planets, stars, and galaxies.
,Googie,[,]","Art Deco,Atompunk,Cassette Futurism,Cybervillain,Dieselpunk,Diner,Psychedelica,Retro-Futurism,Rocketpunk,Surrealism",,
Red Academia,"(Please can someone else fill in this section? My fashion knowledge is extremely limited so I'd appreciate if someone with a bit more of an understanding of fashion took this bit up instead. Thanks! ^^),
,Red Academia showcases a more royal version of other ,Academia, styles. It has a very high class look to it, which in turn its fashion inheritances. 
,Tops,[,],Tops are usually button ups or sweaters.
,Red sweaters,
,Ornate blouses,
,Red button ups,Bottoms,[,],Bottoms in most academias are always formal dress pants.
,Dress pants (most notably in the color ,red,),
,Red Skirts,Outer wear,[,],Tweed jackets,
,Red overcoats,Dresses,[,],Dresses are often worn as layering pieces, such as with school uniforms, but can include romantic ballgowns.
,Red ball gowns,
,Red sleeveless dresses,Shoes,[,],Shoes are almost always preppy.
,Mary-Janes,Media,[,]","Art Academia,Dark Academia,Royalcore,Theatre Academia","Gold, yellow, orange, red",
Reggaetonero,"Some common characteristics of masculine Reggaetonero fashion are:
,Sunglasses,
,Suits,
,Sports shirts, basketball jerseys are the most used.,
,Sports caps, the baseball ones,
,Golden or silver chain necklaces and bracelets,
,Golden or silver watches,
,Anchor or cross necklaces,
,Suits,
,Piercings,
,Tattoos,
,Diamonds,
,Nearly or completely shaved haircuts,Activities,[,]","Bombardier,Cani,Chaka,Cumbiero,Gangsta Rap,Hip-Hop,Motomami,Pokemón,Raxet,Urbancore","Black, white, gold",
Reefwave,,"Earthcore,Glowwave,Helvetica Aqua Aero,Nautical,Ocean Grunge,Poolcore,Seapunk","Turquoise, green, white, blue, light tan",
Real Life Super Hero,"Spandex,
,Masks,
,Tactical gear (often painted up in bright colours),
,Capes,
,Trench-coats,
,Fedoras or any other sort of comic book characters,Masks in particular are necessary to protect the civilian identities in case they have a run-in with the law or with particularly violent criminals.
,Media,[,]","Heroic Realism,Kidcore",,
Raxet,"Some elements commonly used in Raxet outfits include:
,Crop tops and other tight clothing,
,Tracksuits,
,Fanny packs,
,Slippers,
,Big hoop earrings,
,Fishnets,
,Diamond patterns,
,Leopard prints,
,Bootleg clothing,
,Jewelry,
,Elements related to pyjamas (eg: fluffy hair),
,Erotic elements, including exposed bras and revealing clothing and patterns,
,Shiny, long nails,
,Mild nudity (,sometimes,),
,Dyed black or blonde hair (,often,),Criticism,[,]","Ah Beng,BDSM,Cagole,Cani,Chav,★,Choni,Gyaru,Hip-Hop,Motomami,Normcore,Reggaetonero,Urbancore","Black, white, gold and other intense colors",Bershka
Rangercore,"Comfortable clothes,
,Long hooded cloaks for warmth,
,Fingerless gloves,
,Sturdy boots, especially leather,
,Forest colours for camouflage - browns, grays and greens.,
,Leather,
,Belts with belt knives,
,Water pouches,Media,[,]","Adventurecore,Forestpunk,Kingcore,Knightcore,Naturecore,Princecore,Princesscore,Queencore,Royalcore","Browns, dark greens, dark grays",
Realism,,"Art Academia,Heroic Realism,Noucentisme,Nouveau Réalisme,Photorealism,Socialist Realism",,
Ravencore,,"Crowcore,Goblincore,Cottagecore,Witchcore,Naturecore,Dark Academia,Cryptkeepercore","Black, purple, deep green, bronze",
Raver,,"Acid Design,Anime New Moon,Artcore,Bakala,Belgian New Beat,Blingeecore,Bodikon,Breakcore,Bubblegum Dance,Club,Cybercore,Cyberdelic,Cyberfunk,Cybergoth,Cyberpop,Cyberprep,Cyberpunk,Denpa,Gabber,Glowwave,Krushclub,Manguebeat,Milipili,Pokemón,Psychedelica,Scene,Seapunk,Sextrance,Shibuya Punk,Synthwave,Technoneko2000,Trashy Raver, (subgenre),Tropical Disco",Neon,
Randumb,,"Arabfunny,Blingeecore,Emo,MLG,Old Memecore,Rawring Musically,Scene,Xpiritualism",,
Ratcore,"Fashion that is typically deemed ratcore often has rat designs and patterns, so keep that in mind when shopping for ratcore fashion, but most people just opt to dress in non-rat related fashion the majority of the time.
,Fashion may include: 
,Graphic T-shirts,
,Pajamas,
,Bath robes,
,Jeans,
,Rat carrier (with rat inside),
,Bucket hats,Media,[,]","Bastardcore,Busukawaii,Crackhead,Feralcore,Goblincore,Surreal Memer,Trashcore,Weirdcore","Grey, black, white, brown, pink",
Rebel Academia,"List of common fashion items and/or styles in Rebel Academia:
,White shirts (sometimes graffitied).,
,Uniforms worn in an ""incorrect"" way (broken uniform skirts, upturned shirt collars, defaced school badges, no jackets, colored trousers, a tie worn backwards, sneakers as shoes, etc,
,Using bookie pens/bookie pencils from betting shops and gambling venues such as casinos and various stationary deemed against the school and associated with the outside real world.,
,Bringing in betting slips to do work on.,
,Any type of alternative clothing styles, such as ,goth,, ,punk,, ,emo,, ,lolita,; anything that stands out and/or against social norms.,
,Black dresses.,
,Chokers and chains.,
,Messy hairstyles.,
,Heavy makeup.,Music,[,]","Anarchowave,Chaotic Academia,Darkest Academia,Bastardcore,Horror Academia","Black, red, white and grey",
Rainbowcore,"Rainbowcore fashion is very colorful and vibrant, almost like you're wearing a rainbow. It is popularly used in a lot of fashion items, especially with clothing tied to ,Seapunk,, ,Slimepunk,, ,Icepunk,, ,Vaporwave,, ,Milleniwave,, and ,Y2K, aesthetics due to their favoring of bright and vivid colors. One such example of this in action is a Thermochromatic pigment that leads to a ""Mood Ring"" effect; while it's typically reserved for the titular fashion accessory, some people can utilize the crystals used to make the ""mood ring"" effect and apply it to shoes and other clothing items to create a truly unique look (and one YouTube channel, DipYourCar, has even taken this a step further and applied this to a car). If one doesn't want to buy pre-made items, it is possible to find the pigments online and use them on DIY fashion projects as a form of dye.
,Media,[,]","Blingeecore,Cyberdelic,Cyberprep,Cyberpunk,Decora,Foodie,Glowwave,Holosexual,Icepunk,Imaginarium,Kidcore,Milleniwave,Nostalgiacore,Old Web,Scene,Seapunk,Slimepunk,Synthwave,Tiki,Tropical,Vaporwave",Rainbow,
Rainy Day,"Fashion may include warm, soft clothing such as sweaters and beanies. It also may include raincoats, rainboots, and umbrellas. On some occasions, enthusiasts may wear intricate dresses and apparel made of thin materials, as these things create a unique appearance when rain-soaked.  Rainy day clothing can also include:
,Waterproof coats, especially yellow raincoats,
,Umbrellas,
,Wellies,
,Boots,
,Jeans,
,T-shirt and shorts outfit,
,Bucket Hats,
,Big cozy sweaters,Activities,[,]","Adventurecore,After Hours,Anglo Gothic,Autumn,Comfy/Cozy,Dark Paradise,Dreamy,Dullcore,Gloomcore,Lo-Fi,Lightningwave,Mizuiro,Naturecore,Northerness,Poolcore,Soggy,Spring,Summer,Tropical","Blue, grey, black, navy, green",
Ragecore,,"E-Boy,Gesugao,Goth,Gothcore,Hip-Hop,Metal,Metalcore,Necrotrap,Nu-Metal,Punk,Rivethead,Rock,Trillwave",,
Regency,"Women,[,],Traditional regency dresses are characterized by loose, gauzy skirts and an empire silhouette. They normally tend to be in pastels. Accessories include gloves, necklaces, bonnets, shawls/wraps, headpieces, parasols, and fans.                
,Brands,                
,Historical Emporium,
,Lillou,
,Maison Amory,
,Recollections,Men,[,],Men's fashion included top hats, cravats, shirts with high collars, waistcoats, frock coats, tight fitting breeches, and riding boots. Zack Pinset is a rare example of a man who exclusively wears Regency men's fashion.                
,Brands,                
,Historical Emporium,
,Media,[,]","Classicism,Light Academia,Neoclassicism,Rococo,Romantic Academia,Victorian",Pastels,
R&B,"Hair,[,],Braids,
,Locs,
,Straight,
,Curly,
,Wavy,
,Colored,
,Bun,Shoes,[,],Nike,
,Addidas,
,Reebok,
,Jordans,Clothes,[,],Crop Top,
,Shorts,
,Jeans,
,Sweatsuits,
,Graphic Tees,
,Hoodies,Accessories/Necessities,[,],Necklace,
,Phone,
,Ring,
,Bracelets,
,Acrylics/Fake Nails/Long Nails/Press-On Nails,
,Earrings,Makeup,[,],Touch up,
,Natural,
,Lip gloss,
,Faux Eyelashes,
,Mascara,Subgenres,[,]","Baddie,Boujee,Cyberghetto,Disco,Hip-Hop,McBling,Shiny Suit 97,Ultraviolet Crush,Urbancore","red, purple, blue, pink, black",
Racaille,"Clothes related to the racaille aesthetic include:
,tracksuits,
,bum bags,
,satchels cross-body style,
,phones on chains,
,caps,
,bucket hats,
,handies,
,pants tucked in socks,
,Nike TN sneakers,Activities,[,]","Baddie,Chav,Jersey Shore,Bombardier,Cani,Dizelaši,Gopnik","White, black, grey, blue, red","Lacoste, Nike"
Queercore,,"Trendercore,Punk","Black, white, pink",
Queer Villainy,,"BDSM,Camp,Cyberpunk,Pride flags,Queercore,Villaincore,Voidpunk,Y2K",,
Purism,,"Art Academia,Cubism,Modernism,Suprematism",,
Queer Academia,,"Writer Academia,Dark Academia,Romantic Academia","rainbow, beige, gray, brown, cream, black",
Quality Tumblr,,"Basic White Girl,Christian Girl Autumn,Normcore,Pale,VSCO","Neon pastels, black, and pink",
Queencore,"Fashion may be taken directly from historical accounts or may be modernized. Real life examples can include historical figures like Queen Victoria for a more historical approach, or figures like Kate Middleton and Meghan Markle for more modern fashion. Fictional examples can include Queen Calanthe from ,The Witcher,, Cersei Lannister from ,Game of Thrones,, Mary, Queen of Scots from ,Reign,, and The Countess from ,American Horror Story, (for a more creative twist). Staples include intricate embroidery, beading, jewel and metal embellishments, darker or richer colors, and long sleeves. Suggestions include:
,Clothing,[,],
,Floor-length formalwear
,Ballgowns,
,Wide-legged jumpsuits or pants,
,Modest-length day dresses,
,Fitted slacks / jeans,
,Tailored blouses,
,Fitted suits in royal colors,
,Long jackets and coats / cloaks,
,Corsets / shifts,
,Long dressing robes,
,Damasc, jacquard and brocade,
,Heeled footwear,
,Accessories,[,],
,Crown or tiara,
,Lace gloves,
,Victorian-style lace collars,
,Velvet or lace headbands,
,Chokers,
,Vintage brooches,
,Statement rings,
,Embellished hair clips,
,Elaborate earrings,
,Fan,
,Tulle or lace parasol,
,Precious metals,
,Jewels,
,Clutch bags,
,Makeup,[,],Queencore makeup typically embodies a regal and ethereal aesthetic. Here are some elements commonly associated with queencore makeup:
,Flawless complexion: Start with a smooth and even base by using a foundation that matches your skin tone. Apply concealer to hide any blemishes or dark circles and set it with a light dusting of translucent powder for a matte finish.,
,Soft, radiant glow: Achieve a luminous complexion by applying a subtle highlighter on the high points of your face, such as the cheekbones, bridge of the nose, and cupid's bow.,
,Rosy or peachy blush: Use a blush in soft, romantic shades of pink or peach to give your cheeks a natural flush. Apply it lightly for a delicate, youthful look.,
,Defined eyebrows: Shape and define your eyebrows using an eyebrow pencil or powder to create an arch that complements your face shape. Fill in any sparse areas for a polished appearance.,
,Neutral or soft-toned eyeshadow: Opt for neutral or pastel shades like champagne, rose gold, or soft mauve to create a dreamy eye look. Blend the eyeshadow across the eyelids, focusing on the crease to add depth and dimension.,
,Winged eyeliner or soft smoky eye: Create a winged eyeliner look with a precise liquid or gel liner for a defined and elegant effect. Alternatively, you can go for a soft smoky eye by using muted shades and blending them for a subtle, ethereal effect.,
,Long, fluttery lashes: Apply several coats of lengthening and volumizing mascara to give your lashes a dramatic, fluttery appearance. You can also add false lashes for extra intensity.,
,Soft, natural lips: Choose lip colors that enhance your natural lip tone, such as nude shades, soft pinks, or peachy tones. Opt for a satin or glossy finish to keep the lips looking plump and hydrated.,
,Gemstone or pearl accents: For a touch of whimsy and regality, you can add small gemstones or pearls as accents to your makeup. Place them strategically around your eyes or on the temples for a magical, queencore touch.,Hair,[,],Long, flowing locks: Long hair is often preferred in queencore hairstyles, as it adds to the ethereal and whimsical aesthetic. If you don't have long hair, you can use hair extensions to achieve the desired length.,
,Soft waves or loose curls: Gentle waves or loose curls can enhance the romantic and dreamy vibe of queencore hair. You can achieve this by using a curling iron or hot rollers, or opt for heatless methods like braiding damp hair overnight.,
,Braids and intricate updos: Braided hairstyles, such as fishtail braids, crown braids, or milkmaid braids, are often incorporated into queencore looks. They add a touch of elegance and can be embellished with flowers or delicate hair accessories. Intricate updos with twists, knots, and braids can also create a regal and enchanting effect.,
,Delicate hair accessories: Hair accessories play a significant role in queencore hairstyles. Consider adorning your hair with delicate flower crowns, bejeweled headbands, tiaras, or barrettes with pearls and rhinestones. These accessories add a whimsical and royal touch to your overall look.,
,Soft, face-framing tendrils: To create a soft and romantic frame for your face, leave a few strands of hair loose around the front. These gentle tendrils can be curled or styled to add an extra touch of femininity.,
,Pastel or vibrant hair colors: Queencore embraces a range of hair colors, from soft pastels like pink, lavender, or silver to vibrant jewel tones like deep red or emerald green. Experiment with temporary hair color or extensions if you want to try out different shades.,
,Shiny and healthy hair: Regardless of the specific style, queencore hair tends to be well-maintained, shiny, and healthy-looking. Regular deep conditioning treatments and using hair serums or oils can help achieve this radiant and lustrous effect.,Music,[,]","Baddie,Hime Lolita,Kingcore,Knightcore,Princesscore,Princecore,Royalcore","Dark Reds, Deep Purples, Royal Blue, Emerald Green, Gold, Silver, Black and White",
Puppycore,,"Babycore,Babygirl,Cutecore,Maidcore,Neko,Petcore,Sanriocore",,
Punk,"Punk fashion is typically very different from what is seen on other subcultures. Clothing, hairstyles, cosmetics/jewelry, and even body modifications have their own style unique to punk. Punk fashion draws inspiration from other subcultures such as skinheads, greasers, and glam rock, and has influenced many other aesthetics, such as Grunge and Indie Rock. While a lot of punk fashion featured tartan plaid pants, band shirts, leather jackets, Mohawks, and multi-colored hair, but the key element of Punk was the anti-consumerist ideology (something that the ,Grunge, aesthetic inherited from them in the 90s) of wearing clothes either bought at thrift stores or handed down from older family members and modifying it.
,Mohawks, spiked hair, or shaved hair is popular within punk, alongside bright colours. Combat boots and high-top sneakers are popular choices of footwear, and Lace Code was at one point popular, but is now mostly unused. Leather and denim jackets and vests are common to see, and are often inundated with political messages, patches and band logos.
,Lace Code,[,],Although largely defunct now, beginning in the 1980s in Southern California, Lace code had begun to be used by the punk community to describe people's views on race, and soon other political and social ideologies. Laces were tied in a lace-ladder pattern, and the lace's colors on combat boots and Doc Martens were used to express social/political ideologies within the punk community. Their meanings:
,Black: No affiliation, or Straight Edge (see below).,
,Blue: Anti-cop/Anti-police. In some circles, it signifies that the wearer has murdered a police officer.,
,Yellow: Anti-racism and discrimination.,
,Purple: A new variant, meaning support for the LGBTQIA+ community.,
,Red: Neo-Nazi / National Front. Alternatively, could mean they have killed someone.,
,White: White Pride / KKK affiliation. Separate from Neo-Nazis.,Music,[,]","Music,2 Tone,Belgian New Beat,Deathrock,Emo,Euskal Punk,Goth,Post-Punk,Fashion/Aesthetics,Anarchowave,Atompunk,Biopunk,Cyberpunk,Decopunk,Afropunk,Dieselpunk,Greaser,Goth,Goth Punk,Graffiti Pop,Grunge,Hippie,Lowbrow,Movida Madrileña,Nanopunk,Pastel Punk,Skater,Steampunk,Stonepunk,Vintage,Politics,Pokemón","Black with bright contrasting colours like red, green, yellow",
PSY-OP Girl,"Some elements commonly found in PSY-OP Girl fashion include:
,Military uniforms or gear,
,Combat boots,
,Vests,
,Tactical clothing,
,Tight clothing,
,Thigh high socks,
,Pleated skirts,
,Leggings,
,Shorts,
,Crop tops,
,Weaponry,
,Heavy makeup,
,Flags,
,Elements of Cosplay (sometimes; examples include cat ears, anime girl wigs, etc.),Criticism,[,]","Cyberneticpunk,E-Girl,Military,NATOwave,Larpercore,Sigma,Simp,Waif","Green, brown",
Psychedelica,,"Acid Design,Acid Pixie,Acidwave,Alien,Belgian New Beat,Cartooncore,Chicha,Cyberdelic,Drugcore,Glowwave,Grime Art,Hippie,Icepunk,Imaginarium,Manguebeat,Rainbowcore,Raver,Seapunk,Slimepunk,Weirdcore",,
Princesscore,"As one may expect of an aesthetic so named, Princesscore fashion takes its inspiration from real royalty, especially princesses and queens, and fictional representations. The appearance of wealth and class distinction are quite important in this style.
,Clothing,[,],Originally pinned and draped pieces of fabric
,Expensive fabrics
,Abaca,
,Agave,
,Burmese, Mulberry or other silk,
,Cashmere,
,Cotton,
,Guanaco,
,Indian wool,
,Linen,
,Shahtoosh,
,Vicuña Wool,
,Knee-length tunics,
,Ankle-length robes,
,Kerchiefs,
,Floor-length gowns,
,Light, flowy dresses,
,Shawls,
,Corsets,
,Necklines
,High-boned collars,
,Square or round,
,V-neck,
,Sweetheart,
,Deep and narrow,
,Ruffed,
,Off the shoulder,
,With lace and/or embroidery,
,Intricate patterns, often in primary colors,
,Wedding gowns,Accessories,[,],Anklets,
,Bangles,
,Crowns,
,Earrings,
,Fans,
,Gloves,
,Necklaces,
,Parasols,
,Rings,
,Rich oils and perfumes,
,Sparkles,
,Tiaras,Activities,[,]","Boujee,Dreamy,Ethereal,Fairy Tale,Girly Girl,Hime Lolita,Kingcore,Knightcore,Lolita,Old Money,Pretty preppy,Princecore,Queencore,Rococo,Romantic Academia,Royalcore,Sparklecore","Gold, silver, white, pastels, jewel tones",
Princecore,"Fashion includes:
,Suits,
,Jackets,
,Button-ups/collared shirts,
,Dressy pants,
,Riding boots,
,Polished shoes,
,Crowns,
,Masculine jewelry,
,Cloaks/capes,
,Surcoats,
,Tunics,
,Poet shirts,
,Oxford shoes,
,Frock coats,
,Cravats,
,Jabots,Media,[,]","Kingcore,Knightcore,Princesscore,Queencore,Rangercore,Royalcore,Ballet Academia,New Romantic,Lolita,Androgynous,Romantic Academia","Blue, gold, silver, green, white, purple, red",
Printcore,,"After Hours,Golden Hour,Dreamcore,Liminal Space,Old Web,Vintage,Frutiger Aero","Nature green, blue, white, grey",Windows
